p	n	D	T	He3	He4	Be7	Li7	Li6
3.813069e-01	6.186930e-01	1.124288e-12	2.754215e-24	3.334953e-24	1.195839e-33	-5.477802e-40	4.049346e-42	8.571965e-36	%
3.802521e-01	6.197478e-01	1.115842e-12	2.750173e-24	3.335248e-24	1.270482e-33	-5.679208e-40	4.460143e-42	8.368742e-36	%
3.791898e-01	6.208101e-01	1.107532e-12	2.746889e-24	3.336481e-24	1.351179e-33	-5.889281e-40	4.901080e-42	8.168509e-36	%
3.781200e-01	6.218799e-01	1.099356e-12	2.744368e-24	3.338664e-24	1.438501e-33	-6.108447e-40	5.374266e-42	7.971222e-36	%
3.770427e-01	6.229571e-01	1.091312e-12	2.742616e-24	3.341806e-24	1.533080e-33	-6.337159e-40	5.881961e-42	7.776836e-36	%
3.759580e-01	6.240419e-01	1.083400e-12	2.741637e-24	3.345918e-24	1.635616e-33	-6.575891e-40	6.426587e-42	7.585306e-36	%
3.748657e-01	6.251342e-01	1.075617e-12	2.741440e-24	3.351014e-24	1.746885e-33	-6.825148e-40	7.010742e-42	7.396590e-36	%
3.737659e-01	6.262339e-01	1.067963e-12	2.742032e-24	3.357106e-24	1.867747e-33	-7.085460e-40	7.637212e-42	7.210643e-36	%
3.726587e-01	6.273412e-01	1.060437e-12	2.743420e-24	3.364209e-24	1.999159e-33	-7.357391e-40	8.308984e-42	7.027424e-36	%
3.715440e-01	6.284558e-01	1.053036e-12	2.745615e-24	3.372338e-24	2.142185e-33	-7.641533e-40	9.029266e-42	6.846890e-36	%
3.704219e-01	6.295779e-01	1.045760e-12	2.748626e-24	3.381511e-24	2.298007e-33	-7.938516e-40	9.801496e-42	6.669000e-36	%
3.692924e-01	6.307074e-01	1.038607e-12	2.752465e-24	3.391744e-24	2.467946e-33	-8.249003e-40	1.062937e-41	6.493713e-36	%
3.681556e-01	6.318443e-01	1.031577e-12	2.757142e-24	3.403057e-24	2.653471e-33	-8.573699e-40	1.151685e-41	6.320987e-36	%
3.670114e-01	6.329885e-01	1.024668e-12	2.762672e-24	3.415470e-24	2.856226e-33	-8.913347e-40	1.246819e-41	6.150784e-36	%
3.658599e-01	6.341399e-01	1.017878e-12	2.769067e-24	3.429005e-24	3.078045e-33	-9.268737e-40	1.348797e-41	5.983063e-36	%
3.647013e-01	6.352986e-01	1.011208e-12	2.776344e-24	3.443683e-24	3.320985e-33	-9.640704e-40	1.458109e-41	5.817784e-36	%
3.635354e-01	6.364645e-01	1.004656e-12	2.784516e-24	3.459530e-24	3.587345e-33	-1.003013e-39	1.575283e-41	5.654910e-36	%
3.623624e-01	6.376374e-01	9.982202e-13	2.793602e-24	3.476571e-24	3.879706e-33	-1.043796e-39	1.700886e-41	5.494402e-36	%
3.611824e-01	6.388174e-01	9.919004e-13	2.803621e-24	3.494834e-24	4.200966e-33	-1.086518e-39	1.835528e-41	5.336222e-36	%
3.599955e-01	6.400044e-01	9.856956e-13	2.814590e-24	3.514347e-24	4.554381e-33	-1.131285e-39	1.979862e-41	5.180332e-36	%
3.588016e-01	6.411983e-01	9.796048e-13	2.826531e-24	3.535140e-24	4.943616e-33	-1.178209e-39	2.134592e-41	5.026695e-36	%
3.576009e-01	6.423990e-01	9.736270e-13	2.839466e-24	3.557246e-24	5.372798e-33	-1.227408e-39	2.300475e-41	4.875275e-36	%
3.563935e-01	6.436064e-01	9.677614e-13	2.853419e-24	3.580699e-24	5.846583e-33	-1.279008e-39	2.478325e-41	4.726035e-36	%
3.551795e-01	6.448204e-01	9.620073e-13	2.868413e-24	3.605535e-24	6.370228e-33	-1.333144e-39	2.669016e-41	4.578939e-36	%
3.539589e-01	6.460409e-01	9.563638e-13	2.884477e-24	3.631791e-24	6.949679e-33	-1.389957e-39	2.873489e-41	4.433951e-36	%
3.527320e-01	6.472679e-01	9.508301e-13	2.901636e-24	3.659509e-24	7.591661e-33	-1.449598e-39	3.092756e-41	4.291035e-36	%
3.514987e-01	6.485012e-01	9.454056e-13	2.919922e-24	3.688730e-24	8.303801e-33	-1.512228e-39	3.327905e-41	4.150158e-36	%
3.502592e-01	6.497407e-01	9.400895e-13	2.939365e-24	3.719499e-24	9.094750e-33	-1.578018e-39	3.580107e-41	4.011284e-36	%
3.490137e-01	6.509862e-01	9.348813e-13	2.960000e-24	3.751863e-24	9.974339e-33	-1.647148e-39	3.850622e-41	3.874379e-36	%
3.477622e-01	6.522377e-01	9.297802e-13	2.981860e-24	3.785871e-24	1.095375e-32	-1.719811e-39	4.140805e-41	3.739409e-36	%
3.465049e-01	6.534950e-01	9.247856e-13	3.004983e-24	3.821577e-24	1.204572e-32	-1.796213e-39	4.452116e-41	3.606339e-36	%
3.452419e-01	6.547580e-01	9.198972e-13	3.029409e-24	3.859035e-24	1.326477e-32	-1.876571e-39	4.786125e-41	3.475136e-36	%
3.439733e-01	6.560265e-01	9.151142e-13	3.055178e-24	3.898303e-24	1.462750e-32	-1.961118e-39	5.144522e-41	3.345767e-36	%
3.426994e-01	6.573004e-01	9.104363e-13	3.082336e-24	3.939443e-24	1.615287e-32	-2.050101e-39	5.529127e-41	3.218199e-36	%
3.414202e-01	6.585796e-01	9.058629e-13	3.110929e-24	3.982520e-24	1.786261e-32	-2.143783e-39	5.941900e-41	3.092399e-36	%
3.401360e-01	6.598639e-01	9.013938e-13	3.141005e-24	4.027602e-24	1.978162e-32	-2.242444e-39	6.384952e-41	2.968333e-36	%
3.388468e-01	6.611531e-01	8.970284e-13	3.172618e-24	4.074761e-24	2.193850e-32	-2.346382e-39	6.860555e-41	2.845971e-36	%
3.375528e-01	6.624471e-01	8.927664e-13	3.205821e-24	4.124072e-24	2.436613e-32	-2.455915e-39	7.371161e-41	2.725278e-36	%
3.362542e-01	6.637457e-01	8.886076e-13	3.240673e-24	4.175616e-24	2.710235e-32	-2.571381e-39	7.919408e-41	2.606223e-36	%
3.349512e-01	6.650487e-01	8.845517e-13	3.277234e-24	4.229477e-24	3.019082e-32	-2.693140e-39	8.508141e-41	2.488774e-36	%
3.336439e-01	6.663560e-01	8.805984e-13	3.315572e-24	4.285745e-24	3.368192e-32	-2.821577e-39	9.140428e-41	2.372899e-36	%
3.323324e-01	6.676674e-01	8.767475e-13	3.355752e-24	4.344513e-24	3.763393e-32	-2.957099e-39	9.819576e-41	2.258565e-36	%
3.310171e-01	6.689827e-01	8.729989e-13	3.397849e-24	4.405880e-24	4.211433e-32	-3.100143e-39	1.054915e-40	2.145742e-36	%
3.296981e-01	6.703018e-01	8.693524e-13	3.441939e-24	4.469951e-24	4.720136e-32	-3.251172e-39	1.133301e-40	2.034398e-36	%
3.283755e-01	6.716244e-01	8.658079e-13	3.488103e-24	4.536838e-24	5.298592e-32	-3.410680e-39	1.217529e-40	1.924500e-36	%
